Student Name,"Current 
Grade Level","Student 
Number",Course,Course Number,Grade,GPA Points,Storecode,"Historical
Grade Level",Combined GPA+ (Grade * 100)+ AP Bounus (.333),Email Reference
Mei Lin,9,123456,Advisory 9,10700,A,3.66952,S1,9,903.66952,9a27@kis.ac
Mei Lin,9,123456,Biology,10410,A+,3.95185,S1,9,903.95185,9a27@kis.ac
Mei Lin,9,123456,Chinese II,10501,C,0.04245,S1,9,900.04245,9a27@kis.ac
Mei Lin,9,123456,English &amp; Writing 9,10203,A,3.62584,S1,9,903.62584,9a27@kis.ac
Mei Lin,9,123456,Geometry,10000,C,1.30229,S1,9,901.30229,9a27@kis.ac
Mei Lin,9,123456,Global Studies 9,10300,C-,1.44283,S1,9,901.44283,9a27@kis.ac
Mei Lin,9,123456,Korean Language 9,10520,C-,1.49505,S1,9,901.49505,9a27@kis.ac
Mei Lin,9,123456,Korean Social Studies 9,10521,B,2.61441,S1,9,902.61441,9a27@kis.ac
Mei Lin,9,123456,PE Grade 9,10716,A+,3.87022,S1,9,903.87022,9a27@kis.ac
Hiroshi Tanaka,9,2345673,Advisory 9,10700,A+,4,S1,9,904,9b27@kis.ac
Hiroshi Tanaka,9,2345673,Biology,10410,A-,3.21968,S1,9,903.21968,9b27@kis.ac
Hiroshi Tanaka,9,2345673,English &amp; Writing 9,10203,B+,2.99737,S1,9,902.99737,9b27@kis.ac
Hiroshi Tanaka,9,2345673,Global Studies 9,10300,B,2.79674,S1,9,902.79674,9b27@kis.ac
Hiroshi Tanaka,9,2345673,HS Choir,10651,A+,4,S1,9,904,9b27@kis.ac
Hiroshi Tanaka,9,2345673,Korean Language 9,10520,C+,1.87998,S1,9,901.87998,9b27@kis.ac
Hiroshi Tanaka,9,2345673,Korean Social Studies 9,10521,C,1.56283,S1,9,901.56283,9b27@kis.ac
Hiroshi Tanaka,9,2345673,PE Grade 9,10716,C,0.12883,S1,9,900.12883,9b27@kis.ac
